districtCode,city,district,province,lon,lat
110100,北京市,北京,北京市,116.405285,39.904989
110101,北京市,东城,北京市,116.418757,39.917544
110102,北京市,西城,北京市,116.366794,39.915309
110105,北京市,朝阳,北京市,116.486409,39.921489
110106,北京市,丰台,北京市,116.286968,39.863642
110107,北京市,石景山,北京市,116.195445,39.914601
110108,北京市,海淀,北京市,116.310316,39.956074
110109,北京市,门头沟,北京市,116.105381,39.937183
110111,北京市,房山,北京市,116.139157,39.735535
110112,北京市,通州,北京市,116.658603,39.902486
110113,北京市,顺义,北京市,116.653525,40.128936
110114,北京市,昌平,北京市,116.235906,40.218085
110115,北京市,大兴,北京市,116.338033,39.728908
110116,北京市,怀柔,北京市,116.637122,40.324272
110117,北京市,平谷,北京市,117.112335,40.144783
110118,北京市,密云,北京市,116.843352,40.377362
110119,北京市,延庆,北京市,115.985006,40.465325
120100,天津市,天津,天津市,117.190182,39.125596
120101,天津市,和平区,天津市,117.195907,39.118327
120102,天津市,河东区,天津市,117.226568,39.122125
120103,天津市,河西区,天津市,117.217536,39.101897
120104,天津市,南开区,天津市,117.164143,39.120474
120105,天津市,河北区,天津市,117.201569,39.156632
120106,天津市,红桥区,天津市,117.163301,39.175066
120110,天津市,东丽区,天津市,117.313967,39.087764
120111,天津市,西青区,天津市,117.012247,39.139446
120112,天津市,津南区,天津市,117.382549,38.989577
120113,天津市,北辰区,天津市,117.13482,39.225555
120114,天津市,武清区,天津市,117.057959,39.376925
120115,天津市,宝坻区,天津市,117.308094,39.716965
120116,天津市,滨海新区,天津市,117.654173,39.032846
120117,天津市,宁河区,天津市,117.82828,39.328886
120118,天津市,静海区,天津市,116.925304,38.935671
120119,天津市,蓟州区,天津市,117.407449,40.045342
130100,石家庄市,石家庄,河北省,114.502461,38.045474
130102,石家庄市,长安区,河北省,114.548151,38.047501
130104,石家庄市,桥西区,河北省,114.462931,38.028383
130105,石家庄市,新华区,河北省,114.465974,38.067142
130107,石家庄市,井陉矿区,河北省,114.058178,38.069748
130108,石家庄市,裕华,河北省,114.533257,38.027696
130109,石家庄市,藁城,河北省,114.849647,38.033767
130110,石家庄市,鹿泉,河北省,114.321023,38.093994
130111,石家庄市,栾城,河北省,114.654281,37.886911
130121,石家庄市,井陉,河北省,114.144488,38.033614
130123,石家庄市,正定,河北省,114.569887,38.147835
130125,石家庄市,行唐,河北省,114.552734,38.437422
130126,石家庄市,灵寿,河北省,114.37946,38.306546
130127,石家庄市,高邑,河北省,114.610699,37.605714
130128,石家庄市,深泽,河北省,115.200207,38.18454
130129,石家庄市,赞皇,河北省,114.387756,37.660199
130130,石家庄市,无极,河北省,114.977845,38.176376
130131,石家庄市,平山,河北省,114.184144,38.259311
130132,石家庄市,元氏,河北省,114.52618,37.762514
130133,石家庄市,赵县,河北省,114.775362,37.754341
130181,石家庄市,辛集,河北省,115.217451,37.92904
130183,石家庄市,晋州,河北省,115.044886,38.027478
130184,石家庄市,新乐,河北省,114.68578,38.344768
130200,唐山市,唐山,河北省,118.175393,39.635113
130202,唐山市,路南区,河北省,118.210821,39.615162
130203,唐山市,路北区,河北省,118.174736,39.628538
130204,唐山市,古冶,河北省,118.45429,39.715736
130205,唐山市,开平区,河北省,118.264425,39.676171
130207,唐山市,丰南,河北省,118.110793,39.56303
130208,唐山市,丰润,河北省,118.155779,39.831363
130209,唐山市,曹妃甸,河北省,118.446585,39.278277
130224,唐山市,滦南,河北省,118.681552,39.506201
130225,唐山市,乐亭,河北省,118.905341,39.42813
130227,唐山市,迁西,河北省,118.305139,40.146238
130229,唐山市,玉田,河北省,117.753665,39.887323
130281,唐山市,遵化,河北省,117.965875,40.188616
130283,唐山市,迁安,河北省,118.701933,40.012108
130284,唐山市,滦州,河北省,118.71048,39.747116
130300,秦皇岛市,秦皇岛,河北省,119.586579,39.942531
130302,秦皇岛市,海港区,河北省,119.596224,39.943458
